data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-07-17 01:24:48.620451;65;São Paulo;Ana Oliveira;Smartwatch Garmin;John Boulware;masculino;cartão de crédito
2025-07-17 17:05:53.566539;66;São Paulo;Lucas Pereira;Tablet Apple Ipad;Stanley Nolan;masculino;boleto
2025-07-17 17:18:48.230143;67;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Bobby Boldenow;masculino;boleto
2025-07-17 18:39:48.605796;68;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Edelmira Whitney;feminino;pix
2025-07-17 20:58:51.108615;69;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Latoya Newcomer;feminino;cartão de crédito
2025-07-17 21:14:47.715708;70;Florianópolis;Tiago Lima;Smartwatch Garmin;Leola Volesky;feminino;boleto
2025-07-18 00:54:54.163688;71;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Edith Greenley;feminino;pix
2025-07-18 00:54:54.608343;72;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Amber Simmonds;feminino;cartão de crédito
2025-07-18 15:53:55.305661;73;São Paulo;Lucas Pereira;Tablet Apple Ipad;Teresa Cavazos;feminino;dinheiro
2025-07-18 16:26:53.202777;74;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Patricia Manley;feminino;dinheiro
2025-07-18 17:49:47.605732;75;Florianópolis;Tiago Lima;Smartwatch Garmin;Paul Perry;masculino;cartão de crédito
2025-07-18 18:54:51.603006;76;Florianópolis;Tiago Lima;Smartwatch Garmin;Gloria Vrablic;feminino;pix
2025-07-18 22:26:50.505285;77;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Cynthia Padgett;feminino;boleto
2025-07-18 23:55:55.091851;78;Florianópolis;Gabriela Santos;Smartwatch Garmin;Earl Hernandez;masculino;boleto
2025-07-19 15:12:50.586041;79;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Jason Daley;masculino;boleto
2025-07-19 15:17:51.134785;80;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Martha Thomsen;feminino;cartão de crédito
2025-07-19 15:18:50.506229;81;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Johnnie Guerra;feminino;pix
2025-07-19 15:39:49.838921;82;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Jane King;feminino;cartão de crédito
2025-07-19 17:08:52.128266;83;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Deborah Taylor;feminino;boleto
2025-07-20 15:19:49.332598;84;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Donna Fitch;feminino;pix
2025-07-20 16:28:54.568983;85;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Angela Garmany;feminino;dinheiro
2025-07-20 20:07:55.352251;86;Florianópolis;Tiago Lima;Smartwatch Garmin;Nina Weisman;feminino;pix
2025-07-20 20:25:49.333472;87;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Lance Padron;masculino;boleto
2025-07-20 21:04:48.676733;88;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Robert Oconnor;masculino;pix
2025-07-20 22:21:53.454265;89;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Kathrine Hunt;feminino;dinheiro
2025-07-20 23:03:47.579337;90;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Claudia Emerald;feminino;boleto
2025-07-21 01:09:54.088062;91;Porto Alegre;Mariana Gomes;Smartwatch Garmin;John Barry;masculino;pix
2025-07-21 19:47:47.672928;92;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;John Fink;masculino;cartão de crédito
2025-07-21 22:29:47.878840;93;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Mary Platt;feminino;cartão de crédito
2025-07-21 22:54:49.638102;94;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Marsha Williams;feminino;dinheiro
2025-07-21 23:42:53.753027;95;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;David Hall;masculino;boleto
2025-07-22 00:00:48.527942;96;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Laverne Hodgkins;masculino;boleto
2025-07-22 00:07:50.300113;97;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Howard Venkus;masculino;cartão de crédito
2025-07-22 01:21:48.331157;98;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Lori Cho;feminino;pix
2025-07-22 14:59:55.193807;99;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Valerie Clear;feminino;dinheiro
2025-07-22 15:18:53.043570;100;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Laurie Tacker;feminino;dinheiro
2025-07-22 17:03:50.138669;101;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Lorraine Madrigal;feminino;pix
2025-07-23 18:30:54.980740;102;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Gertrude Olson;feminino;cartão de crédito
2025-07-23 19:02:53.051675;103;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Raymond Burkle;masculino;cartão de crédito
2025-07-23 23:42:53.580192;104;Florianópolis;Tiago Lima;Smartwatch Garmin;Thomas White;masculino;cartão de crédito
2025-07-24 20:16:53.640120;105;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Nathaniel Cilek;masculino;pix
2025-07-24 23:09:53.568185;106;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Roger Hernandez;masculino;dinheiro
2025-07-24 23:56:53.612385;107;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Bruce Drake;masculino;dinheiro
2025-07-25 00:11:51.239179;108;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Lynn Lloyd;masculino;cartão de crédito
2025-07-25 00:37:50.586899;109;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Manuel Roscioli;masculino;cartão de crédito
2025-07-25 18:02:54.078590;110;São Paulo;Ana Oliveira;Tablet Apple Ipad;Sharen Birchfield;feminino;boleto
2025-07-25 18:25:54.018795;111;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Victor Lei;masculino;cartão de crédito
2025-07-25 20:03:55.313230;112;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Edna Becker;feminino;boleto
2025-07-25 22:30:53.639893;113;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Kenneth Henry;masculino;dinheiro
2025-07-25 22:44:48.928979;114;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Eric Delgado;masculino;dinheiro
2025-07-25 23:07:47.827192;115;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Jennifer Miranda;feminino;dinheiro
2025-07-26 16:26:53.702315;116;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Alice Ellingsworth;feminino;pix
2025-07-26 19:34:50.747860;117;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Jesus Christensen;masculino;cartão de crédito
2025-07-26 23:45:54.838978;118;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Ivan Morales;masculino;pix
2025-07-27 00:01:51.013080;119;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Francis Torres;masculino;pix
2025-07-27 17:23:52.519000;120;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;William Dyess;masculino;cartão de crédito
2025-07-27 17:46:51.483468;121;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Jenny Warren;feminino;cartão de crédito
2025-07-27 18:21:54.673411;122;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;James Simonds;masculino;boleto
2025-07-27 23:19:52.630485;123;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Daniel Oharra;masculino;pix
2025-07-28 00:40:47.800253;124;São Paulo;Lucas Pereira;Tablet Apple Ipad;Patricia Garner;feminino;pix
2025-07-28 00:58:53.421125;125;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Gloria Chasse;feminino;boleto
2025-07-28 15:59:53.030088;126;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Mildred Beck;feminino;pix
2025-07-28 18:49:54.981052;127;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Laura Wayland;feminino;dinheiro
2025-07-28 19:16:47.803655;128;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Lawrence Keller;masculino;cartão de crédito
2025-07-28 19:24:48.823102;129;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Lisa Doil;feminino;cartão de crédito
2025-07-29 00:05:53.062339;130;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Eric Kestner;masculino;dinheiro
2025-07-29 00:58:48.012297;131;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Franklin Hicks;masculino;dinheiro
2025-07-29 15:14:50.357630;132;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Donald Zhou;masculino;boleto
2025-07-29 15:47:55.147460;133;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Mary Kamaka;feminino;pix
2025-07-29 16:49:48.463080;134;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Marjorie Wright;feminino;cartão de crédito
2025-07-29 18:05:48.086000;135;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Anna Ford;feminino;pix
2025-07-30 00:31:48.822198;136;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Whitney Morales;feminino;cartão de crédito
2025-07-30 14:46:54.109572;137;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Robert Roth;masculino;pix
2025-07-30 17:39:50.285864;138;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Paul Herrin;masculino;dinheiro
2025-07-30 18:27:54.357163;139;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Sharon Counts;feminino;boleto
2025-07-30 19:44:54.365338;140;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Molly Harris;feminino;cartão de crédito
2025-07-31 15:01:52.128500;141;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Joshua Kennedy;masculino;dinheiro
2025-07-31 16:02:52.028257;142;São Paulo;Lucas Pereira;Fone de Ouvido Sony;James Pettigrew;feminino;boleto
2025-07-31 16:24:54.659840;143;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Allison Mccaskill;feminino;cartão de crédito
2025-07-31 17:04:54.852850;144;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Katherine Baird;feminino;boleto
2025-07-31 18:46:53.970387;145;São Paulo;Ana Oliveira;Smartwatch Garmin;Casey Maston;masculino;cartão de crédito
2025-07-31 19:05:52.504153;146;São Paulo;Ana Oliveira;Smartwatch Garmin;William Avila;masculino;cartão de crédito
2025-07-31 22:02:52.501955;147;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Charles Townsend;masculino;boleto
2025-07-31 22:30:51.816264;148;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Frank Holcomb;masculino;dinheiro
2025-07-31 22:49:54.474861;149;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Vicki Kim;feminino;cartão de crédito
2025-07-31 23:11:51.719740;150;Florianópolis;Gabriela Santos;Smartwatch Garmin;Whitley Sartori;feminino;boleto
2025-07-31 23:48:52.228938;151;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;John Smith;masculino;cartão de crédito
2025-08-01 18:12:54.693238;152;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Ann Sault;feminino;cartão de crédito
2025-08-01 19:08:55.313792;153;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Elaine Braun;feminino;dinheiro
2025-08-01 19:09:48.351229;154;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;William Mcmillan;masculino;dinheiro
2025-08-01 19:44:55.024541;155;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Johnny Thompson;masculino;cartão de crédito
2025-08-01 22:07:54.607848;156;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Gary Sheppard;masculino;dinheiro
2025-08-02 14:30:52.502672;157;Florianópolis;Gabriela Santos;Smartwatch Garmin;Michael Childs;masculino;boleto
2025-08-02 18:07:47.576718;158;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Gary Samuel;masculino;dinheiro
2025-08-02 22:09:50.428808;159;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Amy Montez;feminino;boleto
2025-08-03 00:07:49.169026;160;Florianópolis;Tiago Lima;Smartwatch Garmin;Sandra Collins;feminino;cartão de crédito
2025-08-03 00:54:51.239704;161;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Elizabeth Colony;feminino;cartão de crédito
2025-08-03 15:48:51.057832;162;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Rosie Mccarver;feminino;pix
2025-08-03 16:35:51.277387;163;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Ruth Hardy;feminino;dinheiro
2025-08-03 17:21:50.061267;164;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Ahmed Graham;masculino;pix
2025-08-03 17:35:48.462484;165;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Denise Reed;feminino;pix
2025-08-03 19:54:48.010582;166;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Miguel Hurtado;masculino;boleto
2025-08-03 20:19:52.777344;167;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Shirley Armor;feminino;pix
2025-08-04 16:32:54.712480;168;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;John Isaac;masculino;pix
2025-08-04 20:36:54.474604;169;São Paulo;Ana Oliveira;Smartwatch Garmin;Charles Franklin;masculino;boleto
2025-08-04 20:40:52.553922;170;São Paulo;Ana Oliveira;Tablet Apple Ipad;Hollis Gamez;masculino;cartão de crédito
2025-08-04 20:47:54.346646;171;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Mary Baum;feminino;boleto
2025-08-04 20:52:47.599416;172;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Cynthia Morrone;feminino;boleto
2025-08-04 21:55:51.138685;173;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Angeline Todd;feminino;cartão de crédito
2025-08-05 17:01:50.612121;174;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Joshua Bartelson;masculino;boleto
2025-08-05 23:56:49.559454;175;São Paulo;Ana Oliveira;Tablet Apple Ipad;Luella Osburn;feminino;boleto
2025-08-06 17:51:48.292489;176;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Richard Dubiel;masculino;pix
2025-08-06 20:38:51.374862;177;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Irene Hooker;feminino;cartão de crédito
2025-08-06 20:45:53.570099;178;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Gail Tibbetts;feminino;dinheiro
2025-08-06 21:26:49.780249;179;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Allan Jennings;masculino;pix
2025-08-06 21:52:51.113464;180;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Robert Steitz;masculino;dinheiro
2025-08-06 23:10:52.619531;181;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Alida Pike;feminino;pix
2025-08-07 00:12:50.288922;182;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;James Emmons;masculino;boleto
2025-08-07 00:55:49.177067;183;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;David Montes;masculino;pix
2025-08-07 14:41:48.979937;184;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Steve Hall;masculino;boleto
2025-08-07 15:26:53.628519;185;Florianópolis;Tiago Lima;Fone de Ouvido Sony;William Jenkins;masculino;dinheiro
2025-08-07 16:05:51.137274;186;São Paulo;Lucas Pereira;Tablet Apple Ipad;Susan Bartlett;feminino;dinheiro
2025-08-07 16:32:54.048186;187;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;John Hyslop;masculino;boleto
2025-08-07 18:49:54.358790;188;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Shannon Renz;masculino;dinheiro
2025-08-07 19:02:52.360279;189;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Virginia Stanfield;feminino;cartão de crédito
2025-08-08 15:05:49.804858;190;São Paulo;Lucas Pereira;Tablet Apple Ipad;Betty Greenhouse;feminino;dinheiro
2025-08-08 15:12:50.987523;191;Florianópolis;Tiago Lima;Smartwatch Garmin;Cheryl Ingram;feminino;cartão de crédito
2025-08-08 22:54:50.279364;192;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Jeremy Higgs;masculino;cartão de crédito
2025-08-09 01:03:53.604477;193;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Deborah Lopez;feminino;dinheiro
2025-08-09 14:41:53.977650;194;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Alfred Ducking;masculino;dinheiro
2025-08-09 17:46:50.363087;195;Florianópolis;Gabriela Santos;Smartwatch Garmin;William Elliott;masculino;cartão de crédito
2025-08-09 18:18:52.476848;196;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Cecil Strauser;masculino;pix
2025-08-09 19:56:51.523374;197;São Paulo;Lucas Pereira;Smartwatch Garmin;Paul Vent;masculino;pix
2025-08-09 21:00:51.771000;198;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Sari Victoria;feminino;pix
2025-08-10 14:57:48.638016;199;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Max Berhe;masculino;pix
2025-08-10 15:41:49.544810;200;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Lisa Morales;feminino;cartão de crédito
2025-08-10 18:52:47.801957;201;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Irene King;feminino;dinheiro
2025-08-10 19:23:50.376789;202;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Deborah Mace;feminino;boleto
2025-08-10 19:26:53.457571;203;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Arlene Frisbie;feminino;boleto
2025-08-10 21:28:54.475195;204;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Jose Jimenez;masculino;boleto
2025-08-11 15:59:47.801239;205;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Edna Johnson;feminino;dinheiro
2025-08-11 19:07:54.293635;206;Florianópolis;Tiago Lima;Tablet Apple Ipad;Joanne Elgin;feminino;boleto
2025-08-11 20:58:53.423864;207;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Josie Potter;feminino;pix
2025-08-12 01:14:47.461071;208;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Kathryn Meade;feminino;boleto
2025-08-12 18:37:51.222644;209;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Rosalie Golay;feminino;pix
2025-08-12 20:36:48.542944;210;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Daniel Oconnor;masculino;cartão de crédito
2025-08-12 23:05:55.047156;211;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Luis Bennett;masculino;dinheiro
2025-08-13 14:35:52.762669;212;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Gina Heil;feminino;cartão de crédito
